Individual,NetWorth,Source,Industry,Country,Competetive,Competition,Details
Bezos,113.00,Amazon,Technology,US,N,Non-Competitive,
Gates,98.00,Microsoft,Technology,US,N,Non-Competitive,
Arnault,76.00,LVMH,Retail,France,Y,Competitive,
Buffet,67.50,Berkshire Hathaway,Finance,US,-,Non-Competitive,
Ellison,59.00,software,Technology,US,Y,Competitive,
Ortega,55.10,Zara,Retail,Spain,Y,Competitive,
Zuckerberg,54.70,Facebook,Technology,US,N,Non-Competitive,
Walton,54.60,Walmart,Retail,US,Y,Competitive,
Walton,54.40,Walmart,Retail,US,Y,Competitive,
Walton,54.10,Walmart,Retail,US,Y,Competitive,
Ballmer,52.70,Microsoft,Technology,US,N,Non-Competitive,
Page,50.90,Google,Technology,US,N,Non-Competitive,
Brin,49.10,Google,Technology,US,N,Non-Competitive,
Meyers,48.90,L'Oreal,Retail,France,N,Non-Competitive,
Bloomberg,48.00,Bloomberg,Media,US,N,Non-Competitive,Provide media and financial dat
Koch,38.20,Koch Ind.,Diversified,US,N,Non-Competitive,
Koch,38.20,Koch Ind.,Diversified,US,N,Non-Competitive,
Scott,36.00,Amazon,Technology,US,N,Non-Competitive,
Albrecht,33.30,supermarkets,Retail,Germany,Y,Competitive,
Knight,29.50,Nike,Retail,US,Y,Competitive,
Pinault,27.00,luxury goods,Retail,France,Y,Competitive,
Adelson,26.80,casinos,Gambling,US,Y,Competitive,
Mars,24.70,"candy, pet food",Food,US,Y,Competitive,
Mars,24.70,"candy, pet food",Food,US,Y,Competitive,
Musk,24.60,Tesla,Automotive,US,Y,Competitive,Micro monopoly over electric car market
Ferrero,24.50,"Nutella, chocolates",Food,Italy,Y,Competitive,Monopoly In chocolate spread but not all spreads
Dell,22.90,Dell,Technology,US,Y,Competitive,
Simons,21.60,hedge funds,Finance,US,-,Non-Competitive,
Schwarz,19.80,retail,Retail,Germany,Y,Competitive,
Walton,18.40,Walmart,Retail,US,Y,Competitive,
Dalio,18.00,hedge funds,Finance,US,-,Non-Competitive,
Wertheimer,17.10,Chanel,Retail,France,Y,Competitive,
Wertheimer,17.10,Chanel,Retail,France,Y,Competitive,
Blavatnik,17.00,diversified,Diversified,US,-,Non-Competitive,
Albrecht,17.00,Aldi,Retail,Germany,Y,Competitive,
Klatten,16.80,BMW,Automotive,Germany,Y,Competitive,
Mateschitz,16.50,Red Bull,Food,Austria,Y,Competitive,NUMBER OF DIFFERENT ENERGY DRINK OPTIONS
Powell Jobs,16.40,Apple,Technology,US,N,Non-Competitive,
Del Vecchio,16.10,eyeglasses,Retail,Italy,N,Non-Competitive,
Bren,15.50,real estate,Real Estate,US,-,Non-Competitive,
Schwarzman,15.40,investments,Finance,US,-,Non-Competitive,
Murdoch,14.90,newspapers,Media,US,Y,Competitive,
Lauder,14.60,Estee Lauder,Retail,US,Y,Competitive,
Peterffy,14.30,discount brokerage,Finance,US,-,Non-Competitive,
Kuehne,14.20,shipping,Logistics,Germany,Y,Competitive,
Cohen,13.90,hedge funds,Finance,US,-,Non-Competitive,
Icahn,13.80,investments,Finance,US,-,Non-Competitive,
Persson,13.50,H&M,Retail,Sweden,Y,Competitive,
Schmidt,13.20,Google,Technology,US,N,Non-Competitive,
Droege,13.00,consulting,Service,Germany,Y,Competitive,
Hopp,13.00,software,Technology,Germany,Y,Competitive,Sap
Hinduja,12.90,diversified,Diversified,UK,-,Non-Competitive,
Thiele,12.90,brakes,Engineering,Germany,Y,Competitive,
Heineken,12.80,Heineken,Food,Netherlands,Y,Competitive,
Besnier,12.70,cheese,Food,France,Y,Competitive,
Plattner,12.40,software,Technology,Germany,Y,Competitive,SAP
Griffin,12.10,hedge funds,Finance,US,-,Non-Competitive,
Tepper,12.00,hedge funds,Finance,US,-,Non-Competitive,
Wuerth,11.60,fasteners,Manufacturing,Germany,Y,Competitive,
"Menard, Jr.",11.50,home improvement stores,Retail,US,Y,Competitive,
Tschira,11.30,software,Technology,Germany,Y,Competitive,
Mistry,11.10,construction,Engineering,Ireland,Y,Competitive,
Anschutz,11.00,investments,Finance,US,-,Non-Competitive,
Omidyar,11.00,"Ebay, Paypal",Technology,US,N,Non-Competitive,
Ratcliffe,11.00,chemicals,Manufacturing,UK,Y,Competitive,
Johnson,10.80,money management,Finance,US,-,Non-Competitive,
Newhouse,10.80,media,Media,US,Y,Competitive,
Rausing,10.30,packaging,Food,Sweden,Y,Competitive,
Meijer,10.20,supermarkets,Retail,US,Y,Competitive,
Pessina,10.20,drugstores,Retail,Italy,Y,Competitive,
Kroenke,10.00,"sports,real estate",Sports,US,Y,Competitive,
Moore,9.80,Intel,Technology,US,N,Non-Competitive,
Koum,9.70,Whatsapp,Technology,US,N,Non-Competitive,
Fredriksen,9.60,shipping,Logistics,US,Y,Competitive,
Struengmann,9.60,pharma,Healthcare,Germany,Y,Competitive,
Struengmann,9.60,pharma,Healthcare,Germany,Y,Competitive,
Moscovitz,9.30,Facebook,Technology,US,N,Non-Competitive,
Hongbin,9.20,Real Estate,Real Estate,US,-,Non-Competitive,
Rausing,9.10,Food,Food,Sweden,Y,Competitive,
Rausing,9.10,Food,Food,Sweden,Y,Competitive,
Resnick,9.00,Food,Food,US,Y,Competitive,
Walton,8.90,Retail,Retail,US,Y,Competitive,
Soros,8.30,hedge funds,Finance,US,-,Non-Competitive,
Loh,8.20,Manufacturing,Manufacturing,Germany,Y,Competitive,
Bertarelli,8.00,biotech,Healthcare,Switzerland,Y,Competitive,
Cook,8.00,medical devices,Healthcare,US,Y,Competitive,
Jones,8.00,Dallas Cowboys,Sports,US,Y,Competitive,
Povlsen,8.00,fashion retail,Retail,Denmark,Y,Competitive,
Wittouck,8.00,investments,Finance,Belgium,-,Non-Competitive,
Beal,7.90,banks,Finance,US,Y,Competitive,
Kroenke,7.90,Walmart,Retail,US,Y,Competitive,
Khan,7.80,auto,Automotive,US,Y,Competitive,
Geffen,7.60,movies,Media,US,Y,Competitive,
Kennedy,7.60,media,Media,US,Y,Competitive,
Okeden,7.60,media,Media,US,Y,Competitive,
Von Finck,7.60,investments,Finance,Germany,-,Non-Competitive,
Duffield,7.50,business software,Technology,US,Y,Competitive,
"Frist, Jr.",7.50,hospitals,Healthcare,US,Y,Competitive,
Grayken,7.40,private equity,Finance,Ireland,-,Non-Competitive,
Louis Hansen,7.40,medical devices,Healthcare,Denmark,Y,Competitive,
Doerr,7.30,venture capital,Technology,US,-,Non-Competitive,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
